seqNo,ticker,txDate,shortVol,totVol
710,COST,2013-10-28,31250,78475
711,COST,2013-10-29,45050,101581
712,COST,2013-10-30,31274,64331
713,COST,2013-10-31,45407,95468
714,COST,2013-11-01,38692,81089
715,COST,2013-11-04,34912,85252
716,COST,2013-11-05,24504,46243
717,COST,2013-11-06,138687,219019
718,COST,2013-11-07,73516,171936
719,COST,2013-11-08,65606,118583
720,COST,2013-11-11,35052,86643
721,COST,2013-11-12,57292,85442
722,COST,2013-11-13,55275,78386
723,COST,2013-11-14,33617,55627
724,COST,2013-11-15,30478,54182
725,COST,2013-11-18,25639,66809
726,COST,2013-11-19,24493,39465
727,COST,2013-11-20,37173,63403
728,COST,2013-11-21,22730,51169
729,COST,2013-11-22,43583,78259
730,COST,2013-11-25,21300,50415
731,COST,2013-11-26,38490,71278
732,COST,2013-11-27,18911,41561
733,COST,2013-11-29,17824,29474
734,COST,2013-12-02,22663,61383
735,COST,2013-12-03,34095,73481
736,COST,2013-12-04,75232,130888
737,COST,2013-12-05,83034,199110
738,COST,2013-12-06,30526,69478
739,COST,2013-12-09,56272,83675
740,COST,2013-12-10,62556,149815
741,COST,2013-12-11,130720,231103
742,COST,2013-12-12,33162,73993
743,COST,2013-12-13,40291,69441
744,COST,2013-12-16,34685,91584
745,COST,2013-12-17,39362,76253
746,COST,2013-12-18,52627,156326
747,COST,2013-12-19,128723,187716
748,COST,2013-12-20,33627,57302
749,COST,2013-12-23,26087,40745
750,COST,2013-12-24,13890,24883
751,COST,2013-12-26,12444,27965
752,COST,2013-12-27,12900,39675
753,COST,2013-12-30,6924,27133
754,COST,2013-12-31,19981,38260
755,COST,2014-01-02,24878,65435
756,COST,2014-01-03,22344,62918
757,COST,2014-01-06,30150,75199
758,COST,2014-01-07,43108,99069
759,COST,2014-01-08,94356,194299
760,COST,2014-01-09,178902,406457
761,COST,2014-01-10,60307,119086
762,COST,2014-01-13,56497,158377
763,COST,2014-01-14,56522,113627
764,COST,2014-01-15,37084,83876
765,COST,2014-01-16,18246,47626
766,COST,2014-01-17,46118,119215
767,COST,2014-01-21,30288,65032
768,COST,2014-01-22,37987,67684
769,COST,2014-01-23,46463,75974
770,COST,2014-01-24,69073,173000
771,COST,2014-01-27,74075,264321
772,COST,2014-01-28,60027,109037
773,COST,2014-01-29,94267,172632
774,COST,2014-01-30,33161,71783
775,COST,2014-01-31,43524,96365
776,COST,2014-02-03,69741,122459
777,COST,2014-02-04,42308,94433
778,COST,2014-02-05,35085,84330
779,COST,2014-02-06,89647,186031
780,COST,2014-02-07,54481,107510
781,COST,2014-02-10,58702,226683
782,COST,2014-02-11,43894,91527
783,COST,2014-02-12,53383,139424
784,COST,2014-02-13,47054,95999
785,COST,2014-02-14,50566,85151
786,COST,2014-02-18,50310,91544
787,COST,2014-02-19,50329,88366
788,COST,2014-02-20,57250,94955
789,COST,2014-02-21,63996,172961
790,COST,2014-02-24,35062,96828
791,COST,2014-02-25,45428,91055
792,COST,2014-02-26,59931,103176
793,COST,2014-02-27,22745,55501
794,COST,2014-02-28,45681,85312
795,COST,2014-03-03,45941,82856
796,COST,2014-03-04,37755,71837
797,COST,2014-03-05,78236,153277
798,COST,2014-03-06,269542,516492
799,COST,2014-03-07,92092,177746
800,COST,2014-03-10,46663,90732
801,COST,2014-03-11,69216,113875
802,COST,2014-03-12,71252,121976
803,COST,2014-03-13,59341,103027
804,COST,2014-03-14,68697,126689
805,COST,2014-03-17,58311,152755
806,COST,2014-03-18,44302,102094
807,COST,2014-03-19,38834,65717
808,COST,2014-03-20,30844,70689
809,COST,2014-03-21,94094,160668
810,COST,2014-03-24,36138,79394
811,COST,2014-03-25,54865,96403
812,COST,2014-03-26,36766,66009
813,COST,2014-03-27,46582,80446
814,COST,2014-03-28,51690,135720
815,COST,2014-03-31,27200,88289
816,COST,2014-04-01,29849,84444
817,COST,2014-04-02,41665,101985
818,COST,2014-04-03,24715,106902
819,COST,2014-04-04,33337,80896
820,COST,2014-04-07,32136,156152
821,COST,2014-04-08,81232,187957
822,COST,2014-04-09,101302,200487
823,COST,2014-04-10,79324,158381
824,COST,2014-04-11,97384,168664
825,COST,2014-04-14,71916,118398
826,COST,2014-04-15,52257,114039
827,COST,2014-04-16,61954,160704
828,COST,2014-04-17,27030,61761
829,COST,2014-04-21,54225,94396
830,COST,2014-04-22,46113,83632
831,COST,2014-04-23,64498,120307
832,COST,2014-04-24,60766,112360
833,COST,2014-04-25,44046,67683
834,COST,2014-04-28,97669,210321
835,COST,2014-04-29,34208,74656
836,COST,2014-04-30,36023,69206
837,COST,2014-05-01,37719,64829
838,COST,2014-05-02,36767,56316
839,COST,2014-05-05,44358,90660
840,COST,2014-05-06,59149,125843
841,COST,2014-05-07,98211,231194
842,COST,2014-05-08,46667,98978
843,COST,2014-05-09,48422,117400
844,COST,2014-05-12,51394,117036
